query_id,query,product,sim_score,status
1,energetic urban chic,Neon Mesh Sneakers,0.8603209185300694,Good
1,energetic urban chic,Leather Moto Jacket,0.8125126665157536,Good
1,energetic urban chic,Boho Floral Dress,0.8015334117813231,Good
2,professional and sharp look,Pinstripe Business Suit,0.9109147498599781,Good
2,professional and sharp look,Leather Moto Jacket,0.8534588506875507,Good
2,professional and sharp look,Minimalist Silver Ring,0.8311641833336005,Good
3,something quiet and cozy for home,Oversized Cashmere Sweater,0.88616504957119,Good
3,something quiet and cozy for home,Boho Floral Dress,0.8003047401008079,Good
3,something quiet and cozy for home,Minimalist Silver Ring,0.7863465498649105,Good
4,extremely wild purple glitter party outfit with wings and horns,Boho Floral Dress,0.764832166727216,Good
4,extremely wild purple glitter party outfit with wings and horns,Leather Moto Jacket,0.7641602450348363,Good
4,extremely wild purple glitter party outfit with wings and horns,Vintage Denim Jumpsuit,0.7615555481198812,Good
